MCTS:,30.00,0.52,12.13
random:,30.00,0.06,7.83


s1a2_k5_3.txt
cmaes:,30.00,0.38,19.83
simulannealbnd:,30.00,0.21,6.57
MCTS:,30.00,0.37,7.73
random:,30.00,0.02,3.17


Data_s1a3_k1_1_4_9_10_0.05_LSTM,,,
s1a3_k1_1.txt
cmaes:,29.00,0.40,3.90
simulannealbnd:,30.00,0.23,3.93
MCTS:,30.00,0.40,2.33
random:,30.00,0.06,4.70


s1a3_k1_2.txt
cmaes:,29.00,0.21,4.38
simulannealbnd:,30.00,0.23,4.60
MCTS:,30.00,0.39,3.33
random:,30.00,0.02,2.17


s1a3_k1_3.txt
cmaes:,29.00,0.19,3.83
simulannealbnd:,30.00,0.21,5.57
MCTS:,30.00,0.42,3.80
random:,30.00,0.03,3.00


Data_s1a3_k2_1_4_9_10_0.05_LSTM,,,
s1a3_k2_1.txt
cmaes:,29.00,0.41,4.14
simulannealbnd:,30.00,0.28,5.40
MCTS:,30.00,0.51,6.00
random:,30.00,0.05,3.73


s1a3_k2_2.txt
cmaes:,30.00,0.21,3.47
simulannealbnd:,30.00,0.21,3.87
MCTS:,30.00,0.44,3.60
random:,30.00,0.03,2.13


s1a3_k2_3.txt
cmaes:,30.00,0.20,3.53
simulannealbnd:,30.00,0.20,4.07
MCTS:,30.00,0.43,4.40
random:,30.00,0.03,3.00


Data_s1a3_k3_1_4_9_10_0.05_LSTM,,,
s1a3_k3_1.txt
cmaes:,30.00,0.41,4.40
simulannealbnd:,30.00,0.29,6.07
MCTS:,30.00,0.46,4.47
random:,30.00,0.05,3.40


s1a3_k3_2.txt
cmaes:,22.00,0.28,7.55
simulannealbnd:,30.00,0.32,8.77
MCTS:,30.00,0.51,7.13
random:,30.00,0.07,6.03


s1a3_k3_3.txt
cmaes:,29.00,0.21,4.83
simulannealbnd:,30.00,0.21,4.87
MCTS:,30.00,0.35,2.90
random:,30.00,0.03,2.93


Data_s1a3_k4_1_4_9_10_0.05_LSTM,,,
s1a3_k4_1.txt
cmaes:,29.00,0.43,4.31
simulannealbnd:,30.00,0.24,3.57
MCTS:,30.00,0.41,2.10
random:,30.00,0.04,2.70


s1a3_k4_2.txt
cmaes:,30.00,0.06,1.00
simulannealbnd:,30.00,0.07,1.00
MCTS:,30.00,0.39,2.40
random:,30.00,0.03,2.63


s1a3_k4_3.txt
cmaes:,30.00,0.21,4.00
simulannealbnd:,30.00,0.21,4.60
MCTS:,30.00,0.42,3.57
random:,30.00,0.04,3.70


Data_s1a3_k5_1_4_9_10_0.05_LSTM,,,
s1a3_k5_1.txt
cmaes:,30.00,0.22,1.00
simulannealbnd:,30.00,0.08,1.00
