Data_s1a1_k1_1_4_9_10_0.0_LSTM,,,
s1a1_k1_1.txt
cmaes:,30.00,0.44,7.37
simulannealbnd:,30.00,0.42,12.33
MCTS:,30.00,0.56,10.77
random:,30.00,0.10,6.87


s1a1_k1_2.txt
cmaes:,30.00,0.41,11.80
simulannealbnd:,30.00,0.43,12.20
MCTS:,30.00,0.57,9.87
random:,30.00,0.09,8.23


s1a1_k1_3.txt
cmaes:,30.00,0.61,21.63
simulannealbnd:,30.00,0.59,21.20
MCTS:,30.00,0.59,12.17
random:,30.00,0.10,10.30


Data_s1a1_k2_1_4_9_10_0.0_LSTM,,,
s1a1_k2_1.txt
cmaes:,30.00,0.60,15.63
simulannealbnd:,30.00,0.41,10.83
MCTS:,30.00,0.78,16.87
random:,30.00,0.11,8.07


s1a1_k2_2.txt
cmaes:,30.00,0.35,8.90
simulannealbnd:,30.00,0.32,8.27
MCTS:,30.00,0.46,4.87
random:,30.00,0.08,6.87


s1a1_k2_3.txt
cmaes:,30.00,0.38,9.07
simulannealbnd:,30.00,0.33,8.90
MCTS:,30.00,0.46,7.80
random:,30.00,0.07,5.73


Data_s1a1_k3_1_4_9_10_0.0_LSTM,,,
s1a1_k3_1.txt
cmaes:,30.00,0.57,12.47
simulannealbnd:,30.00,0.41,9.37
MCTS:,30.00,0.53,7.07
random:,30.00,0.13,8.57


s1a1_k3_2.txt
cmaes:,30.00,0.49,16.13
simulannealbnd:,30.00,0.47,15.63
MCTS:,30.00,0.55,10.20
random:,30.00,0.10,9.70


s1a1_k3_3.txt
cmaes:,30.00,0.40,12.70
simulannealbnd:,30.00,0.40,12.93
MCTS:,30.00,0.57,11.87
random:,30.00,0.12,10.60


Data_s1a1_k4_1_4_9_10_0.0_LSTM,,,
s1a1_k4_1.txt
cmaes:,30.00,0.47,11.70
simulannealbnd:,30.00,0.41,11.80
MCTS:,30.00,0.55,10.43
random:,30.00,0.09,7.97


s1a1_k4_2.txt
cmaes:,30.00,0.45,15.23
simulannealbnd:,30.00,0.34,11.17
MCTS:,30.00,0.49,9.60
random:,30.00,0.07,7.37


s1a1_k4_3.txt
cmaes:,30.00,0.40,13.40
simulannealbnd:,30.00,0.45,16.43
MCTS:,30.00,0.51,11.97
random:,30.00,0.07,9.63


Data_s1a1_k5_1_4_9_10_0.0_LSTM,,,
s1a1_k5_1.txt
cmaes:,29.00,0.59,11.79
simulannealbnd:,30.00,0.60,18.37
MCTS:,30.00,0.54,7.70
random:,30.00,0.22,18.57


s1a1_k5_2.txt
cmaes:,30.00,0.65,22.07
simulannealbnd:,30.00,0.55,17.70
MCTS:,30.00,0.64,14.17
random:,30.00,0.13,12.13


s1a1_k5_3.txt
cmaes:,30.00,0.51,18.97
simulannealbnd:,30.00,0.60,23.67
MCTS:,30.00,0.81,19.10
random:,30.00,0.13,10.40


Data_s1a2_k1_1_4_9_10_0.01_LSTM,,,
s1a2_k1_1.txt
cmaes:,30.00,0.19,1.00
simulannealbnd:,30.00,0.07,1.00
MCTS:,30.00,0.60,9.23
random:,30.00,0.06,4.87


s1a2_k1_2.txt
cmaes:,30.00,0.06,1.00
simulannealbnd:,30.00,0.06,1.00
MCTS:,30.00,0.48,5.53
random:,30.00,0.03,2.97


s1a2_k1_3.txt
cmaes:,27.00,0.60,25.44
simulannealbnd:,30.00,0.26,6.07
MCTS:,30.00,0.53,8.27
random:,30.00,0.06,5.47


Data_s1a2_k2_1_4_9_10_0.01_LSTM,,,
s1a2_k2_1.txt
cmaes:,30.00,0.19,1.00
simulannealbnd:,30.00,0.08,1.00
MCTS:,30.00,0.48,6.03
random:,30.00,0.06,4.30


s1a2_k2_2.txt
cmaes:,29.00,0.24,5.52
simulannealbnd:,30.00,0.28,6.17
MCTS:,30.00,0.35,1.00
random:,30.00,0.03,3.33


s1a2_k2_3.txt
cmaes:,23.00,0.48,19.17
simulannealbnd:,30.00,0.23,6.47
MCTS:,30.00,0.50,6.93
random:,30.00,0.04,3.53


Data_s1a2_k3_1_4_9_10_0.01_LSTM,,,
s1a2_k3_1.txt
cmaes:,30.00,0.18,1.00
simulannealbnd:,30.00,0.08,1.00
MCTS:,30.00,0.50,7.07
random:,30.00,0.09,6.87


s1a2_k3_2.txt
cmaes:,21.00,1.12,64.62
simulannealbnd:,29.00,5.75,239.55
MCTS:,30.00,2.97,159.37
random:,30.00,0.86,113.97


s1a2_k3_3.txt
cmaes:,15.00,0.14,5.27
simulannealbnd:,30.00,0.19,9.50
MCTS:,30.00,0.26,4.50
random:,30.00,0.04,6.80


Data_s1a2_k4_1_4_9_10_0.01_LSTM,,,
s1a2_k4_1.txt
cmaes:,24.00,0.55,16.00
simulannealbnd:,30.00,0.28,6.93
MCTS:,30.00,0.49,6.67
random:,30.00,0.05,4.37


s1a2_k4_2.txt
cmaes:,30.00,0.06,1.00
simulannealbnd:,30.00,0.06,1.00
MCTS:,30.00,0.46,8.53
random:,30.00,0.04,5.30


s1a2_k4_3.txt
cmaes:,30.00,0.05,1.00
simulannealbnd:,30.00,0.05,1.00
MCTS:,30.00,0.37,2.33
random:,30.00,0.03,3.00


Data_s1a2_k5_1_4_9_10_0.01_LSTM,,,
s1a2_k5_1.txt
cmaes:,6.00,0.43,16.17
simulannealbnd:,30.00,0.41,12.43
MCTS:,30.00,0.93,22.37
random:,30.00,0.16,13.17


s1a2_k5_2.txt
cmaes:,12.00,0.36,12.17
simulannealbnd:,30.00,0.38,13.67
MCTS:,30.00,0.48,8.07
random:,30.00,0.07,7.03


s1a2_k5_3.txt
cmaes:,14.00,0.33,16.64
simulannealbnd:,30.00,0.21,9.13
MCTS:,30.00,0.74,26.87
random:,30.00,0.03,4.87


Data_s1a3_k1_1_4_9_10_0.05_LSTM,,,
s1a3_k1_1.txt
cmaes:,30.00,0.44,8.57
simulannealbnd:,30.00,0.27,7.27
MCTS:,30.00,0.42,6.67
random:,30.00,0.07,6.57


s1a3_k1_2.txt
cmaes:,30.00,0.05,1.00
simulannealbnd:,30.00,0.05,1.00
MCTS:,30.00,0.37,4.27
random:,30.00,0.05,5.30


s1a3_k1_3.txt
cmaes:,30.00,0.20,4.97
simulannealbnd:,30.00,0.17,3.97
MCTS:,30.00,0.35,5.20
random:,30.00,0.03,3.70


Data_s1a3_k2_1_4_9_10_0.05_LSTM,,,
s1a3_k2_1.txt
cmaes:,30.00,0.44,9.13
simulannealbnd:,30.00,0.23,5.43
MCTS:,30.00,0.36,5.50
random:,30.00,0.05,5.37


s1a3_k2_2.txt
cmaes:,30.00,0.24,6.70
simulannealbnd:,30.00,0.23,6.57
MCTS:,30.00,0.39,6.73
random:,30.00,0.05,6.80


s1a3_k2_3.txt
cmaes:,30.00,0.28,10.60
simulannealbnd:,30.00,0.36,17.23
MCTS:,30.00,0.68,27.80
random:,30.00,0.11,15.77


Data_s1a3_k3_1_4_9_10_0.05_LSTM,,,
s1a3_k3_1.txt
cmaes:,30.00,0.19,1.00
simulannealbnd:,30.00,0.07,1.00
MCTS:,30.00,0.42,5.47
random:,30.00,0.08,7.83


s1a3_k3_2.txt
cmaes:,30.00,0.05,1.00
simulannealbnd:,30.00,0.05,1.00
MCTS:,30.00,0.40,6.60
random:,30.00,0.04,4.00


s1a3_k3_3.txt
cmaes:,30.00,0.05,1.00
simulannealbnd:,30.00,0.05,1.00
MCTS:,30.00,0.34,4.70
random:,30.00,0.04,4.53


Data_s1a3_k4_1_4_9_10_0.05_LSTM,,,
s1a3_k4_1.txt
cmaes:,30.00,0.39,5.40
simulannealbnd:,30.00,0.37,11.73
MCTS:,30.00,0.46,8.83
random:,30.00,0.15,14.03


s1a3_k4_2.txt
cmaes:,30.00,0.24,6.40
simulannealbnd:,30.00,0.37,14.10
MCTS:,30.00,1.12,41.90
random:,30.00,0.13,17.80


s1a3_k4_3.txt
cmaes:,30.00,0.16,4.37
simulannealbnd:,30.00,0.20,6.70
MCTS:,30.00,0.26,3.47
random:,30.00,0.03,4.63


Data_s1a3_k5_1_4_9_10_0.05_LSTM,,,
s1a3_k5_1.txt
cmaes:,30.00,0.58,15.87
simulannealbnd:,30.00,0.37,12.63
MCTS:,30.00,0.54,11.87
random:,30.00,0.12,12.93


s1a3_k5_2.txt
cmaes:,30.00,0.28,9.03
simulannealbnd:,30.00,0.32,10.53
MCTS:,30.00,0.38,6.97
