s5a1_1_4_9_10_0.0_LSTM,_,_
all = 9000,neg = 0,pro = 0
_,_,_
s5a2_1_4_9_10_0.01_LSTM,_,_
all = 7447,neg = 64,pro = 0.0085941
_,_,_
s5a3_1_4_9_10_0.05_LSTM,_,_
all = 5921,neg = 283,pro = 0.047796
_,_,_
s5a4_1_4_9_10_0.1_LSTM,_,_
all = 6348,neg = 686,pro = 0.10807
_,_,_
s5c1_2_4_9_10_0.0_LSTM,_,_
all = 9000,neg = 0,pro = 0
_,_,_
s5c2_2_4_9_10_0.01_LSTM,_,_
all = 7497,neg = 73,pro = 0.0097372
_,_,_
s5c3_2_4_9_10_0.05_LSTM,_,_
all = 6447,neg = 309,pro = 0.047929
_,_,_
s5c4_1_4_9_10_0.1_LSTM,_,_
all = 5973,neg = 598,pro = 0.10012
_,_,_
