s1a1_1_4_9_10_0.0_LSTM,_,_
all = 9000,neg = 0,pro = 0
_,_,_
s1a2_1_4_9_10_0.01_LSTM,_,_
all = 8982,neg = 95,pro = 0.010577
_,_,_
s1a3_1_4_9_10_0.05_LSTM,_,_
all = 8857,neg = 442,pro = 0.049904
_,_,_
s1a4_1_4_9_10_0.1_LSTM,_,_
all = 8787,neg = 880,pro = 0.10015
_,_,_
s1c1_2_4_9_10_0.0_LSTM,_,_
all = 9000,neg = 0,pro = 0
_,_,_
s1c2_2_4_9_10_0.01_LSTM,_,_
all = 7992,neg = 85,pro = 0.010636
_,_,_
s1c3_2_4_9_10_0.05_LSTM,_,_
all = 8991,neg = 438,pro = 0.048715
_,_,_
s1c4_2_4_9_10_0.1_LSTM,_,_
all = 8822,neg = 882,pro = 0.099977
_,_,_
