s1a1_1_4_9_10_0.0_LSTM,_,_
all = 9000,neg = 0,pro = 0
_,_,_
s1a2_1_4_9_10_0.01_LSTM,_,_
all = 9000,neg = 106,pro = 0.011778
_,_,_
s1a3_1_4_9_10_0.05_LSTM,_,_
all = 9000,neg = 463,pro = 0.051444
_,_,_
s1a4_1_4_9_10_0.1_LSTM,_,_
all = 9000,neg = 885,pro = 0.098333
_,_,_
s1c1_2_4_9_10_0.0_LSTM,_,_
all = 9000,neg = 0,pro = 0
_,_,_
s1c2_2_4_9_10_0.01_LSTM,_,_
all = 9000,neg = 74,pro = 0.0082222
_,_,_
s1c3_2_4_9_10_0.05_LSTM,_,_
all = 9000,neg = 483,pro = 0.053667
_,_,_
s1c4_2_4_9_10_0.1_LSTM,_,_
all = 9000,neg = 910,pro = 0.10111
_,_,_
