s3a1_1_4_9_10_0.0_LSTM,_,_
all = 9000,neg = 1073,pro = 0.11922
_,_,_
s3a2_1_4_9_10_0.01_LSTM,_,_
all = 8349,neg = 1166,pro = 0.13966
_,_,_
s3a3_1_4_9_10_0.05_LSTM,_,_
all = 6104,neg = 844,pro = 0.13827
_,_,_
s3a4_1_4_9_10_0.1_LSTM,_,_
all = 5424,neg = 1028,pro = 0.18953
_,_,_
s3c1_2_4_9_10_0.0_LSTM,_,_
all = 9000,neg = 1420,pro = 0.15778
_,_,_
s3c2_2_4_9_10_0.01_LSTM,_,_
all = 7900,neg = 1717,pro = 0.21734
_,_,_
s3c3_2_4_9_10_0.05_LSTM,_,_
all = 6427,neg = 971,pro = 0.15108
_,_,_
s3c4_1_4_9_10_0.1_LSTM,_,_
all = 5163,neg = 1017,pro = 0.19698
_,_,_
