s1a1_1_4_9_10_0.0_LSTM,_,_
all = 9000,neg = 0,pro = 0
_,_,_
s1a2_1_4_9_10_0.01_LSTM,_,_
all = 8991,neg = 89,pro = 0.0098988
_,_,_
s1a3_1_4_9_10_0.05_LSTM,_,_
all = 8723,neg = 427,pro = 0.048951
_,_,_
s1a4_1_4_9_10_0.1_LSTM,_,_
all = 8597,neg = 837,pro = 0.09736
_,_,_
s1c1_2_4_9_10_0.0_LSTM,_,_
all = 9000,neg = 0,pro = 0
_,_,_
s1c2_2_4_9_10_0.01_LSTM,_,_
all = 8991,neg = 84,pro = 0.0093427
_,_,_
s1c3_2_4_9_10_0.05_LSTM,_,_
all = 8830,neg = 413,pro = 0.046772
_,_,_
s1c4_2_4_9_10_0.1_LSTM,_,_
all = 7818,neg = 745,pro = 0.095293
_,_,_
