s5a1_1_4_9_10_0.0_LSTM,_,_
all = 9000,neg = 0,pro = 0
_,_,_
s5a2_1_4_9_10_0.01_LSTM,_,_
all = 7546,neg = 84,pro = 0.011132
_,_,_
s5a3_1_4_9_10_0.05_LSTM,_,_
all = 6275,neg = 307,pro = 0.048924
_,_,_
s5a4_1_4_9_10_0.1_LSTM,_,_
all = 6252,neg = 619,pro = 0.099008
_,_,_
s5c1_2_4_9_10_0.0_LSTM,_,_
all = 9000,neg = 0,pro = 0
_,_,_
s5c2_2_4_9_10_0.01_LSTM,_,_
all = 7551,neg = 59,pro = 0.0078135
_,_,_
s5c3_2_4_9_10_0.05_LSTM,_,_
all = 6317,neg = 309,pro = 0.048916
_,_,_
s5c4_1_4_9_10_0.1_LSTM,_,_
all = 5414,neg = 555,pro = 0.10251
_,_,_
